Algorithm,Size,Start_R,Start_C,Success_Rate_%,Avg_Runtime_s,Best_Fitness,Max_Fitness,Runs
Brute Force Backtracking,5,0,0,100.0,0.01131145159403483,24,24,3
Randomized Heuristic Backtracking,5,0,0,100.0,0.0001891454060872396,24,24,3
Warnsdorff Backtracking,5,0,0,100.0,0.0002979437510172526,24,24,3
Brute Force Backtracking,5,0,4,100.0,0.01883212725321452,24,24,3
Randomized Heuristic Backtracking,5,0,4,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,0,4,100.0,0.0,24,24,3
Brute Force Backtracking,5,4,0,100.0,0.0,24,24,3
Randomized Heuristic Backtracking,5,4,0,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,4,0,100.0,0.0003658135732014974,24,24,3
Brute Force Backtracking,5,4,4,100.0,0.0,24,24,3
Randomized Heuristic Backtracking,5,4,4,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,4,4,100.0,0.0,24,24,3
Brute Force Backtracking,5,2,2,100.0,0.01298991839090983,24,24,3
Randomized Heuristic Backtracking,5,2,2,100.0,0.0,24,24,3
Warnsdorff Backtracking,5,2,2,100.0,0.0,24,24,3
Brute Force Backtracking,6,0,0,100.0,0.31212647755940753,35,35,3
Randomized Heuristic Backtracking,6,0,0,100.0,0.0002663135528564453,35,35,3
Warnsdorff Backtracking,6,0,0,100.0,0.0,35,35,3
Brute Force Backtracking,6,0,5,100.0,0.07174420356750488,35,35,3
Randomized Heuristic Backtracking,6,0,5,100.0,0.0002581278483072917,35,35,3
Warnsdorff Backtracking,6,0,5,100.0,0.00034157435099283856,35,35,3
Brute Force Backtracking,6,5,0,100.0,0.007143815358479817,35,35,3
Randomized Heuristic Backtracking,6,5,0,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,5,0,100.0,0.0,35,35,3
Brute Force Backtracking,6,5,5,100.0,0.21969064076741537,35,35,3
Randomized Heuristic Backtracking,6,5,5,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,5,5,100.0,0.0,35,35,3
Brute Force Backtracking,6,2,2,100.0,2.9300342400868735,35,35,3
Randomized Heuristic Backtracking,6,2,2,100.0,0.0,35,35,3
Warnsdorff Backtracking,6,2,2,100.0,0.0,35,35,3
GA Classic,5,0,0,0.0,3.719489336013794,20,24,3
GA Optimized,5,0,0,66.66666666666666,1.0088274478912354,24,24,3
GA Elitism,5,0,0,100.0,0.012068351109822592,24,24,3
Cultural Algorithm,5,0,0,100.0,0.012264251708984375,24,24,3
GA Classic,5,0,4,0.0,3.9874324003855386,20,24,3
GA Optimized,5,0,4,100.0,0.7960444291432699,24,24,3
GA Elitism,5,0,4,100.0,0.012484391530354818,24,24,3
Cultural Algorithm,5,0,4,100.0,0.020691076914469402,24,24,3
GA Classic,5,4,0,0.0,3.4045146306355796,20,24,3
GA Optimized,5,4,0,100.0,0.11472225189208984,24,24,3
GA Elitism,5,4,0,100.0,0.01215362548828125,24,24,3
Cultural Algorithm,5,4,0,100.0,0.013746261596679688,24,24,3
GA Classic,5,4,4,0.0,3.5031588077545166,18,24,3
GA Optimized,5,4,4,100.0,0.1029510498046875,24,24,3
GA Elitism,5,4,4,100.0,0.013254642486572266,24,24,3
Cultural Algorithm,5,4,4,100.0,0.008518298467000326,24,24,3
GA Classic,5,2,2,0.0,3.2694220542907715,19,24,3
GA Optimized,5,2,2,66.66666666666666,1.006575584411621,24,24,3
GA Elitism,5,2,2,100.0,0.010958433151245117,24,24,3
Cultural Algorithm,5,2,2,100.0,0.012187719345092773,24,24,3
GA Classic,6,0,0,0.0,4.391882578531901,25,35,3
GA Optimized,6,0,0,33.33333333333333,2.405116319656372,35,35,3
GA Elitism,6,0,0,100.0,0.018233378728230793,35,35,3
Cultural Algorithm,6,0,0,100.0,0.013989607493082682,35,35,3
GA Classic,6,0,5,0.0,5.039172331492106,25,35,3
